product_id,attibutename,attributevalue
268323242,blouse_color,Green
268395335,blouse_color,Blue
268467401,blouse_color,Black
268279661,blouse_color,Not Available
268376344,blouse_color,Black
268567180,blouse_color,Blue
268406097,blouse_color,Not Available
268418420,blouse_color,Black
268388817,blouse_color,Black
268453925,blouse_color,Pink
268385003,blouse_color,Orange
268614235,blouse_color,Pink
268380308,blouse_color,Not Available
268435532,blouse_color,Purple
268332429,blouse_color,Teal
268573941,blouse_color,Red
268577219,blouse_color,Yellow
268396276,blouse_color,Red
268525657,blouse_color,White
268252946,blouse_color,Green
268316995,blouse_color,Not Available
268416712,blouse_color,Pink
268550986,blouse_color,Red
268247268,blouse_color,Green
268420504,blouse_color,Multicolor
268401128,blouse_color,Multicolor
268312892,blouse_color,Not Available
268324746,blouse_color,Blue
268277559,blouse_color,Green
268316225,blouse_color,Multicolor
268442218,blouse_color,Black
268331069,blouse_color,Teal
268557304,blouse_color,Black
268528271,blouse_color,Red
268472908,blouse_color,Black
268319870,blouse_color,Pink
268385286,blouse_color,Pink
268181898,blouse_color,Maroon
268527099,blouse_color,Pink
268416675,blouse_color,Green
268386707,blouse_color,Blue
268411611,blouse_color,Blue
268254061,blouse_color,Multicolor
268419089,blouse_color,Red
268316956,blouse_color,Not Available
268441789,blouse_color,Maroon
268410651,blouse_color,Not Available
268258500,blouse_color,Pink
268575209,blouse_color,Red
268374984,blouse_color,Not Available
268545814,blouse_color,Black
268278482,blouse_color,Blue
268248584,blouse_color,Brown
268289882,blouse_color,Not Available
268165687,blouse_color,Blue
268288673,blouse_color,Green
268025038,blouse_color,Not Available
268564410,blouse_color,Pink
268447755,blouse_color,Not Available
268413041,blouse_color,Yellow
268362840,blouse_color,Not Available
268089218,blouse_color,Maroon
268419373,blouse_color,Multicolor
268610714,blouse_color,Yellow
268395661,blouse_color,Not Available
268332385,blouse_color,Blue
268549857,blouse_color,Pink
268323656,blouse_color,Blue
268269979,blouse_color,Pink
268507700,blouse_color,Not Available
268383998,blouse_color,Blue
268448454,blouse_color,Grey
268566830,blouse_color,Pink
268468140,blouse_color,Multicolor
268291245,blouse_color,Black
268379039,blouse_color,Blue
268306457,blouse_color,Green
268555643,blouse_color,Green
268557042,blouse_color,Black
268168516,blouse_color,Orange
268449502,blouse_color,Green
268505646,blouse_color,Yellow
268256968,blouse_color,White
268391343,blouse_color,Silver
268318825,blouse_color,Green
268414889,blouse_color,Blue
268410493,blouse_color,Multicolor
268425784,blouse_color,Red
268249908,blouse_color,Maroon
268614699,blouse_color,Red
268431671,blouse_color,Black
268441033,blouse_color,Green
268460542,blouse_color,Blue
268419935,blouse_color,Multicolor
268263939,blouse_color,Red
268427056,blouse_color,Red
268618608,blouse_color,Black
268528105,blouse_color,Not Available
268548577,blouse_color,Not Available
268398713,blouse_color,White
268607520,blouse_color,Not Available
268386324,blouse_color,Not Available
268428394,blouse_color,Black
268456361,blouse_color,Red
268327421,blouse_color,Red
268390019,blouse_color,Multicolor
268399482,blouse_color,Not Available
268577499,blouse_color,Not Available
268525996,blouse_color,Pink
268460749,blouse_color,Pink
268407182,blouse_color,Black
268570024,blouse_color,Red
268440507,blouse_color,Not Available
268603183,blouse_color,Not Available
268573041,blouse_color,Navy Blue
268255428,blouse_color,Pink
268555310,blouse_color,Blue
268274922,blouse_color,White
268391249,blouse_color,Multicolor
268548615,blouse_color,Black
268280212,blouse_color,Beige
268440106,blouse_color,Blue
268400772,blouse_color,Red
268249242,blouse_color,Pink
268378029,blouse_color,Yellow
268605758,blouse_color,Multicolor
268024397,blouse_color,Not Available
268387487,blouse_color,Multicolor
268525588,blouse_color,Green
268264071,blouse_color,Red
268430223,blouse_color,Not Available
268426504,blouse_color,White
268571410,blouse_color,Maroon
268434075,blouse_color,Red
268432978,blouse_color,Pink
268271700,blouse_color,Multicolor
268269845,blouse_color,Not Available
268260978,blouse_color,Black
268539589,blouse_color,Green
268305596,blouse_color,Purple
268251918,blouse_color,Not Available
268403642,blouse_color,White
268343824,blouse_color,Blue
268410998,blouse_color,Black
268379393,blouse_color,Pink
268449870,blouse_color,Not Available
268276940,blouse_color,Pink
268440499,blouse_color,Green
268427677,blouse_color,Maroon
268400286,blouse_color,Lavendar
268577026,blouse_color,Red
268604766,blouse_color,Multicolor
268462393,blouse_color,Brown
268550391,blouse_color,Multicolor
268530639,blouse_color,Black
268393336,blouse_color,Multicolor
268249851,blouse_color,Red
268491214,blouse_color,Orange
268603661,blouse_color,Black
268408188,blouse_color,Maroon
268615112,blouse_color,Multicolor
268434604,blouse_color,Black
268303081,blouse_color,Multicolor
268435707,blouse_color,Black
268420777,blouse_color,Multicolor
268436274,blouse_color,Not Available
268295632,blouse_color,Red
268396980,blouse_color,Pink
268332464,blouse_color,Blue
268572960,blouse_color,Red
268419751,blouse_color,Multicolor
268420015,blouse_color,Multicolor
268571626,blouse_color,Not Available
268362908,blouse_color,Black
268434582,blouse_color,Multicolor
268542726,blouse_color,Pink
268258741,blouse_color,Blue
268404189,blouse_color,Maroon
268432805,blouse_color,Purple
268251803,blouse_color,Not Available
268555662,blouse_color,Not Available
268419831,blouse_color,Multicolor
268432502,blouse_color,Grey
268567876,blouse_color,Green
268466530,blouse_color,Not Available
268263973,blouse_color,Navy Blue
268511140,blouse_color,Blue
268447820,blouse_color,Not Available
268406494,blouse_color,Blue
268401121,blouse_color,Multicolor
268607333,blouse_color,Multicolor
268391309,blouse_color,Green
268317890,blouse_color,Blue
268468478,blouse_color,Blue
268345587,blouse_color,Black
268288792,blouse_color,Green
268357407,blouse_color,Not Available
268443479,blouse_color,Not Available
268572792,blouse_color,Pink
268406547,blouse_color,Multicolor
268564039,blouse_color,Not Available
268431602,blouse_color,Red
268469727,blouse_color,Navy Blue
268442914,blouse_color,Navy Blue
268497385,blouse_color,Not Available
268418990,blouse_color,Multicolor
268393661,blouse_color,Green
268525679,blouse_color,Blue
268391055,blouse_color,Purple
268528832,blouse_color,Multicolor
268573776,blouse_color,Pink
268614769,blouse_color,Green
268317252,blouse_color,Not Available
268410807,blouse_color,Blue
268597207,blouse_color,blue
268426239,blouse_color,Grey
268249198,blouse_color,Not Available
268464022,blouse_color,Red
268651092,blouse_color,Black
268371527,blouse_color,Multicolor
268554167,blouse_color,Red
268377990,blouse_color,Pink
268378557,blouse_color,Not Available
268397208,blouse_color,Black
268568728,blouse_color,Black
268382256,blouse_color,White
268464131,blouse_color,Yellow
268362434,blouse_color,Green
268383418,blouse_color,Pink
268251659,blouse_color,Black
268368273,blouse_color,Green
268401011,blouse_color,Multicolor
268359378,blouse_color,Not Available
268401091,blouse_color,Blue
268432241,blouse_color,Maroon
268302688,blouse_color,Red
268263406,blouse_color,Pink
268435854,blouse_color,Red
268531608,blouse_color,Multicolor
268318583,blouse_color,Black
268613394,blouse_color,Red
268435171,blouse_color,Black
268552981,blouse_color,Not Available
268250777,blouse_color,Purple
268577720,blouse_color,Navy Blue
268251755,blouse_color,Red
268556447,blouse_color,Navy Blue
268569864,blouse_color,Not Available
268444240,blouse_color,Grey
268522126,blouse_color,Green
268391613,blouse_color,Not Available
268470039,blouse_color,Multicolor
268560539,blouse_color,Not Available
268533323,blouse_color,Black
268256640,blouse_color,Blue
268530689,blouse_color,Red
268466107,blouse_color,Multicolor
268374539,blouse_color,Not Available
268393130,blouse_color,Multicolor
268408963,blouse_color,Not Available
268418177,blouse_color,Multicolor
268559901,blouse_color,Red
268393384,blouse_color,Multicolor
268547824,blouse_color,Pink
268566751,blouse_color,Yellow
268430724,blouse_color,Maroon
268523721,blouse_color,Green
268424730,blouse_color,Blue
268430235,blouse_color,Pink
268278113,blouse_color,Pink
268409957,blouse_color,Pink
268251929,blouse_color,Pink
268423293,blouse_color,Grey
268577153,blouse_color,Purple
268289187,blouse_color,Blue
268423690,blouse_color,Not Available
268389111,blouse_color,Pink
268417598,blouse_color,Grey
268390172,blouse_color,Red
268421843,blouse_color,Black
268494406,blouse_color,Not Available
268531927,blouse_color,Red
268343984,blouse_color,Not Available
268406280,blouse_color,Black
268307352,blouse_color,Black
268316916,blouse_color,Yellow
268555845,blouse_color,Brown
268408073,blouse_color,Maroon
268430086,blouse_color,Blue
268540998,blouse_color,Red
268321680,blouse_color,White
268542758,blouse_color,Cream
268382840,blouse_color,Green
268402787,blouse_color,Multicolor
268289356,blouse_color,Not Available
268305186,blouse_color,Blue
268610747,blouse_color,Pink
268402040,blouse_color,Pink
268414644,blouse_color,Red
268237459,blouse_color,Black
268576841,blouse_color,Blue
